#Position (bp)	Coverage
4.98887659E8	9.59244013850465E-5
5.07133736E8	2.3635481453787056E-4
5.15379813E8	2.9468558200463082E-5
5.2362589E8	2.90804948825969E-4
5.31871967E8	1.1835931194918505E-4
5.40118044E8	1.513446939678104E-4
5.48364121E8	1.9706340360391977E-4
5.56610198E8	1.2017835875168277E-4
5.64856275E8	0.0015448558144678978
5.73102352E8	1.0611106347903373E-4
5.81348429E8	1.9257642149109208E-4
5.89594506E8	1.4770660036281496E-4
5.97840583E8	7.858282186790155E-5
6.0608666E8	1.4794913993648132E-4
6.14332737E8	2.4896687236852143E-4
6.22578814E8	2.2774465967271467E-4
6.30824891E8	2.2362148692038652E-4
6.39070968E8	8.525266014372652E-5
6.47317045E8	1.4843421908381405E-4
6.55563122E8	4.3050774325779395E-5
6.63809199E8	3.4986333501372835E-4
6.72055276E8	7.203425337890975E-5
6.80301353E8	1.102342362313619E-4
6.87463846E8	3.5713645326817693E-4
6.90580999E8	0.0
6.91664583E8	2.873090426296035E-4
6.96793507E8	1.9948879934058341E-4
7.05039584E8	1.2066343789901549E-4
7.13285661E8	2.3635481453787056E-4
7.21531738E8	5.384378535393254E-5
7.29777815E8	1.9863991083275115E-4
7.38023892E8	1.1726788386768641E-4
7.46269969E8	1.5304247098347492E-4
7.54516046E8	6.97301274290793E-5
7.62762123E8	0.0022358510598433656
7.710082E8	1.9633578488292068E-4
7.79254277E8	6.839615977391431E-5
7.87500354E8	2.3975036856919963E-4
7.95746431E8	7.530853762340565E-5
8.03992508E8	1.494043773784795E-4
8.12238585E8	1.753561117607803E-4
8.20484662E8	9.398408479571559E-5
8.28730739E8	1.942741985067566E-4
8.36976816E8	8.937583289605469E-5
8.45222893E8	1.9985260870108296E-4
8.5346897E8	1.441897765446527E-4
8.61715047E8	1.5704437394896992E-4
8.69961124E8	2.0385451166657793E-4
8.774787075E8	2.065077941226291E-4
8.80978107E8	0.0
8.817066005E8	6.57431623102468E-5
8.86453278E8	7.639996570490428E-5
8.94699355E8	4.050410880228259E-5
9.02945432E8	1.4891929823114677E-4
9.11191509E8	2.0118657635624795E-4
9.19437586E8	1.5364881991764082E-4
9.27683663E8	1.6589706838779215E-4
9.3592974E8	1.61773895635464E-4
9.44175817E8	4.753775643860711E-5
9.52421894E8	9.640948053237922E-5
9.60667971E8	1.7038405050061987E-4
9.68914048E8	7.106409508424431E-5
9.77160125E8	2.7928431907681676E-4
9.85406202E8	1.9148499340959342E-4
9.93652279E8	1.1290217154169189E-4
1.001898356E9	3.104506542929444E-4
1.010144433E9	1.460088233471504E-4
1.01839051E9	3.788468140668587E-4
1.026636587E9	1.7050532028745305E-4
1.034882664E9	2.0288435337191248E-4
1.043128741E9	1.2345264299617868E-4
1.051374818E9	0.0032819242410663885
1.0590595385E9	1.9414984268668566E-4
1.062667565E9	0.0
1.0632289215E9	1.514527816827569E-4
1.067866972E9	6.269647979275479E-5
1.076113049E9	9.289265671421696E-5
1.084359126E9	8.294853419389607E-5
1.092605203E9	1.0489836561070191E-4
1.10085128E9	1.8857451852559708E-4
1.109097357E9	1.7984309387360803E-4
1.117343434E9	1.8687674150993255E-4
1.125589511E9	4.778029601227347E-5
1.133835588E9	6.002854448242479E-5
1.142081665E9	8.99821818302206E-5
1.150327742E9	1.127809017548587E-4
1.158573819E9	1.0768757070786508E-4
1.166819896E9	3.292474712520875E-4
1.175065973E9	4.8338137031706105E-4
1.18331205E9	8.197837589923063E-5
1.191558127E9	2.449649694030264E-4
1.199804204E9	2.0421832102707747E-4
1.208050281E9	1.1775296301501914E-4
1.216296358E9	3.0826779812994715E-4
1.224542435E9	4.3135663176562623E-4
1.231092681E9	1.6397444388252755E-4
1.2352157195E9	2.2702733939879624E-4
1.241034589E9	1.6905008284545488E-4
1.249280666E9	1.5364881991764082E-4
1.257526743E9	1.3812628720299362E-4
1.26577282E9	2.2592561287021695E-4
1.274018897E9	1.6019738840663262E-4
1.282264974E9	1.6480564030629352E-4
1.290511051E9	1.0914280814986327E-4
1.298757128E9	1.5692310416213674E-4
1.307003205E9	2.802544773714822E-4
1.315249282E9	5.077565974705306E-4
1.323495359E9	1.780240470711103E-4
1.331741436E9	2.467840162055242E-4
1.339987513E9	0.006102053133872022
1.34823359E9	7.712758442590338E-5
1.356479667E9	1.1969327960435004E-4
1.364725744E9	1.121745528206928E-4
1.372971821E9	1.720818275162844E-4
1.381217898E9	1.3085009999300274E-4
1.389103399E9	0.001252238394402602
1.3932264375E9	1.6085374511892083E-4
1.397710052E9	4.1498521054314676E-4
1.405956129E9	1.37034859121495E-4
1.414202206E9	1.0150281157937283E-4
1.422448283E9	1.611675467012981E-4
1.43069436E9	3.6490078858104284E-4
1.438940437E9	5.820949767992707E-5
1.447186514E9	1.2442280129084412E-4
1.455432591E9	8.355488312806199E-5
1.463678668E9	1.2236121491468002E-4
1.471924745E9	1.1920820045701732E-4
1.480170822E9	3.78361734919526E-5
1.488416899E9	8.161456653873108E-5
1.496662976E9	2.021567346509134E-4
1.504909053E9	6.25752100059216E-5
1.51315513E9	2.2592561287021695E-4
1.521401207E9	2.0130784614308113E-4
1.529647284E9	6.281774957958797E-5
1.53588741E9	1.9626019236332933E-4
1.5400104485E9	6.929381624974888E-5
1.546139438E9	1.7826658664477665E-4
1.554385515E9	1.8954467682026253E-4
1.562631592E9	1.6383548201162807E-4
1.570877669E9	1.2575676894600911E-4
1.579123746E9	1.1253836218119234E-4
1.587369823E9	4.608251899660893E-6
1.5956159E9	1.0877899878936372E-4
1.603861977E9	4.972061260160438E-5
1.612108054E9	2.498157608763537E-4
1.620354131E9	1.780240470711103E-4
1.628600208E9	1.5413389906497358E-4
1.636846285E9	1.1472121834418961E-4
1.645092362E9	1.9197007255692617E-4
1.653338439E9	1.0404947710286964E-4
1.661584516E9	2.0385451166657793E-4
1.669830593E9	3.5374396819239014E-4
1.675176423E9	2.580161867333883E-4
1.6764192455E9	0.0
1.6764583035E9	0.0
1.676565753E9	0.0
1.6766737005E9	0.0
1.679446467E9	1.514578361542204E-4
1.686322747E9	3.9691601230500275E-4
1.694568824E9	1.4515993483931814E-4
1.702814901E9	2.7491860675082225E-4
1.711060978E9	3.773915766248605E-4
1.719307055E9	5.3116166632933456E-5
1.727553132E9	8.440377163589426E-5
1.735799209E9	1.3072883020616956E-4
1.744045286E9	6.366663808742023E-5
1.752291363E9	9.689455967971194E-5
1.76053744E9	1.7656880962911212E-4
1.768783517E9	7.324695124724156E-5
1.777029594E9	1.78509126218443E-4
1.785275671E9	2.008227669957484E-4
1.793521748E9	1.8687674150993255E-4
1.801767825E9	1.7341579517144942E-4
1.8081907555E9	3.030577087967609E-4
1.812313794E9	2.1720690026829988E-4
1.818259979E9	1.7329452538461624E-4
1.826506056E9	8.161456653873108E-5
1.834752133E9	1.4200692038165543E-4
1.84299821E9	1.8202595003660529E-4
1.851244287E9	2.2725958052538194E-4
1.859490364E9	1.1314471111535825E-4
1.867736441E9	3.371300073962443E-5
1.875982518E9	5.623280015454622E-4
1.884228595E9	1.4030914336599087E-4
1.892474672E9	9.543932223771376E-5
1.900720749E9	6.58494942504175E-5
1.908966826E9	1.121745528206928E-4
1.917212903E9	1.2733327617484047E-4
1.92545898E9	9.689455967971194E-5
1.933705057E9	9.931995541637557E-5
1.9417026825E9	2.0557029691164504E-4
1.945825721E9	1.267853081989845E-4
1.950197211E9	3.1845446022393434E-4
1.958443288E9	1.4297707867632088E-4
1.966689365E9	2.2022593288905743E-4
1.974935442E9	1.4782787014964814E-4
1.983181519E9	2.2798719924638104E-5
1.991427596E9	9.968376477687512E-5
1.999673673E9	2.2058974224955697E-4
2.00791975E9	4.147426709694804E-4
2.016165827E9	5.654810160031249E-4
2.024411904E9	2.766163837664868E-4
2.032657981E9	9.895614605587602E-5
2.040904058E9	1.7171801815578486E-4
2.049150135E9	1.7002024114012032E-4
2.057396212E9	3.340982627254148E-4
2.065642289E9	3.873356991451814E-4
2.073888366E9	3.919439510448423E-4
2.0784319915E9	9.510517443477806E-5
2.08255503E9	0.0
2.09038052E9	4.608251899660893E-6
2.098626597E9	6.706219211874931E-5
2.106872674E9	8.41612320622279E-5
2.115118751E9	6.342409851375387E-5
2.123364828E9	3.9824997996016774E-4
2.131610905E9	9.459043372988149E-5
2.139856982E9	2.418119549453637E-4
2.148103059E9	2.0070149720891522E-4
2.156349136E9	1.4334088803682042E-4
2.164595213E9	8.185710611239745E-5
2.17284129E9	1.728094462372835E-4
2.181087367E9	1.7365833474511578E-4
2.189213656E9	1.6036967958912388E-4
2.1933366945E9	0.0
2.197579521E9	0.0
2.205825598E9	0.0
2.214071675E9	1.3072883020616956E-4
2.222317752E9	1.1350852047585779E-4
2.230563829E9	4.935680324110483E-5
2.238809906E9	6.0998702777090247E-5
2.247055983E9	1.1338725068902461E-4
2.25530206E9	4.3135663176562623E-4
2.263548137E9	2.721294016536591E-4
2.271794214E9	8.454929538009408E-4
2.280040291E9	8.99821818302206E-5
2.288286368E9	1.2054216811218231E-4
2.2963350155E9	0.002061208846831154
2.300361479E9	0.0
2.3005589085E9	0.0
2.300664495E9	0.0
2.3007705315E9	0.0012625611955681525
2.300963291E9	0.0
2.301078083E9	0.0
2.301116918E9	0.0
2.3012231005E9	2.314680863375962E-4
2.301331375E9	0.0
2.3051274025E9	0.0
2.313024599E9	0.0
2.321270676E9	2.6436813529633547E-5
2.329516753E9	1.8736182065726527E-4
2.33776283E9	4.7331597800990703E-4
2.346008907E9	7.364714154379107E-4
2.354254984E9	2.0906911250040473E-4
2.362501061E9	3.4513381332723425E-4
2.370747138E9	3.297325503994202E-4
2.378993215E9	3.1263351045594166E-4
2.387239292E9	1.4431104633148587E-4
2.395485369E9	1.8602785300210028E-4
2.4014764205E9	1.86294206731966E-4
2.4035685575E9	0.0
2.405823583E9	3.151309898584446E-4
2.411977523E9	2.7164432250632636E-4
2.4202236E9	1.6989897135328714E-4
2.428469677E9	8.266961368417976E-4
2.436715754E9	1.4576628377348404E-4
2.444961831E9	0.0
2.453207908E9	2.9031986967863627E-4
2.461453985E9	1.9451673808042297E-4
2.469700062E9	2.2216624947838832E-4
2.477946139E9	1.7317325559778305E-4
2.486192216E9	2.8195225438714674E-4
2.4922231405E9	3.613947583870315E-4
2.495067406E9	1.7621060691738767E-5
2.4972825585E9	2.971598555803102E-5
2.50268437E9	1.8687674150993255E-4
2.510930447E9	3.434360363115697E-4
2.519176524E9	1.1011296644452871E-4
2.527422601E9	4.6070392017925617E-4
2.535668678E9	2.0300562315874566E-4
2.543914755E9	5.110308817150264E-4
2.552160832E9	1.7681134920277848E-4
2.560406909E9	1.8542150406793438E-4
2.568652986E9	4.6021884103192344E-4
2.5760186255E9	2.3129580235126061E-4
2.579354022E9	0.0
2.579587237E9	3.418328650935233E-4
2.579783932E9	0.0
2.5804311545E9	1.1337734179207272E-4
2.58514514E9	3.824849076718541E-4
2.593391217E9	1.1823804216235187E-4
2.601637294E9	2.8668177607364085E-4
2.609883371E9	1.0865772900253054E-4
2.618129448E9	6.25752100059216E-5
2.626375525E9	1.540126292781404E-4
2.634621602E9	3.8309125660602E-4
2.642867679E9	1.5219358247564265E-4
2.651113756E9	1.441897765446527E-4
2.6577251435E9	1.2518340473944772E-4
2.661848182E9	8.998650814114852E-4
2.66760591E9	4.5864233380309204E-4
2.675851987E9	3.006278015594567E-4
2.684098064E9	8.792059545405652E-5
2.692344141E9	2.0446086060074386E-4
2.700590218E9	1.6504817987995988E-4
2.708836295E9	2.3041259498304467E-4
2.715895221E9	4.1776123914829844E-4
2.7200182595E9	7.749646001224781E-5
2.725328449E9	3.3931286355924156E-4
2.733574526E9	2.3308053029337465E-4
2.741820603E9	1.5886342075146763E-4
2.75006668E9	4.357223440916208E-4
2.758312757E9	1.9391038914625707E-4
2.766558834E9	2.5466655234968093E-4
2.774804911E9	2.7734400248748586E-4
2.7811016125E9	1.669992082489328E-4
2.785224651E9	0.0
2.791297065E9	3.237903308445944E-5
2.799543142E9	3.832125263928532E-5
2.807789219E9	4.7331597800990703E-4
2.816035296E9	1.772964283501112E-4
2.824281373E9	1.2090597747268185E-4
2.829194835E9	1.246167402664521E-4
2.8333178735E9	2.850614307383241E-6
2.840773527E9	1.7705388877644486E-5
2.849019604E9	1.3339676551649954E-4
2.857265681E9	1.6383548201162807E-4
2.865511758E9	4.3135663176562623E-4
2.873757835E9	2.171941882182279E-4
2.8793423E9	3.1373456003432266E-4
2.8808791035E9	0.0
2.880975252E9	0.0
2.8810859095E9	2.1137885766415237E-4
2.881197201E9	0.0
2.8813095665E9	0.0
2.8814524455E9	0.0
2.881554052E9	0.0
2.881640732E9	0.0
2.8839023375E9	1.3822628924671393E-4
2.890249989E9	7.021520657641203E-5
2.898496066E9	3.305814389072525E-4
2.906742143E9	1.6650341732195805E-4
2.91498822E9	2.0288435337191248E-4
2.923234297E9	5.14062626385856E-4
2.931480374E9	7.603615634440474E-5
2.939726451E9	4.486982112827712E-5
2.947972528E9	2.573344876600109E-4
2.956218605E9	2.8656050628680766E-4
2.964464682E9	8.003805930989972E-5
2.972710759E9	6.281774957958797E-5
2.980956836E9	4.753775643860711E-5
2.989202913E9	9.155868905905196E-5
2.99744899E9	1.0210916051353873E-4
3.005695067E9	1.1557010685202188E-4
3.013941144E9	5.0690770896269824E-5
3.022187221E9	6.565546259148441E-4
3.030433298E9	1.0708122177369918E-4
3.036137478E9	1.985907017177147E-4
3.0402605165E9	4.897916792065139E-5
3.046925452E9	7.773393336006928E-5
3.055171529E9	1.518297731151431E-4
3.063417606E9	1.2114851704634823E-4
3.071663683E9	0.0
3.07990976E9	0.0
3.088155837E9	0.0
3.093612455E9	0.0
3.0949646545E9	0.0
3.0949844115E9	0.0
3.094986631E9	0.0
3.0949886845E9	0.0
3.0949903915E9	0.0
3.0950018655E9	0.0
3.0950148115E9	0.0
3.09501762E9	0.0
3.0950189425E9	0.0
3.0950208025E9	0.0
3.0950224395E9	0.0
3.095029138E9	0.0
3.0950541825E9	0.0
3.095073617E9	0.0
3.0950755295E9	0.0
3.095078097E9	0.0
3.095079856E9	0.0
3.095081443E9	0.0
3.095083676E9	0.0
3.0950859065E9	0.0
3.095087998E9	0.0
3.095089742E9	0.0
3.095090955E9	0.0
3.0950923875E9	0.0
3.09509401E9	0.0
3.095290721E9	0.0
3.095487368E9	0.0
3.0954888715E9	0.0
3.0954917185E9	0.0
3.09554017E9	0.0
3.095642914E9	0.0
3.095701194E9	0.0
3.095704429E9	0.0
3.0957067955E9	0.0
3.0957090475E9	0.0
3.095711116E9	0.0
3.0957127415E9	0.0
3.095724736E9	0.0
3.0958051435E9	0.0
3.0958770435E9	0.0
3.095883944E9	0.0
3.095891188E9	0.0
3.095897045E9	0.0
3.095901348E9	0.0
3.095903924E9	0.0
3.095906365E9	0.0
3.0959089405E9	0.0
3.095910521E9	0.0
3.095956672E9	0.0
3.0960029275E9	0.0
3.096004328E9	0.0
3.0960058275E9	0.0
3.096008012E9	0.0
3.096010273E9	0.0
3.0960145725E9	0.0
3.096033612E9	0.0
3.0960713655E9	0.0
3.096095945E9	0.0
3.096100544E9	0.0
3.0961060525E9	0.0
3.0961123835E9	0.0
3.096116983E9	0.0
3.0961214015E9	0.0
3.0961251255E9	0.0
3.0961264715E9	0.0
3.0961276755E9	0.0
3.096129709E9	0.0
3.0961315825E9	0.0
3.0961328205E9	0.0
3.0961342485E9	0.0
3.0961354755E9	0.0
3.096136549E9	0.0
3.096138011E9	0.0
3.09614034E9	0.0
3.0961435325E9	0.0
3.0961494575E9	0.0
3.0961541415E9	0.0
3.096155188E9	0.0
3.0961563595E9	0.0
3.096158202E9	0.0
3.096160164E9	0.0
3.096161504E9	0.0
3.0961630155E9	0.0
3.0961645635E9	0.0
3.0961656565E9	0.0
3.0961670355E9	0.0
3.0961686715E9	0.0
3.0961702885E9	0.0
3.0961718175E9	0.0
3.0961733005E9	0.0
3.096174615E9	0.0
3.0961760655E9	0.0
3.0961775255E9	0.0
3.096180128E9	0.0
3.0961828035E9	0.0
3.0961846995E9	0.0
3.0961868525E9	0.0
3.096188403E9	0.0
3.0961903175E9	0.0
3.096192909E9	0.0
3.0961983075E9	0.0
3.0962061245E9	0.0
3.0963013935E9	0.0
3.0964824405E9	0.0
3.0966529405E9	0.0
3.096823688E9	0.0
3.0969922505E9	0.0
3.0970784705E9	0.0
3.097168094E9	0.0
3.0973555425E9	0.0
3.0975451075E9	0.0
3.097650289E9	0.0
3.0977044775E9	0.0
3.097837088E9	0.0
3.097983116E9	0.0
3.098109156E9	0.0
3.0982629605E9	0.0
3.0984127565E9	0.0
3.0985195995E9	0.0
3.098571167E9	0.0
3.098609624E9	0.0
3.0986677805E9	5.277044854881266E-4
3.098743201E9	0.0
3.0988476855E9	0.0
3.099009914E9	0.0
3.0991915875E9	0.0
3.099360465E9	0.0
3.09967461E9	8.562688512939293E-5
3.100047511E9	0.0
3.1003558965E9	0.0
3.1011422395E9	3.5963822338717645E-4
3.1019122975E9	1.3091489877005452E-4
3.1022400375E9	1.7431659322508558E-4
3.1024981065E9	0.0
3.1026642745E9	0.0
3.10276982E9	0.0
3.1028855445E9	0.0
3.103048969E9	0.0
3.103189656E9	0.0
3.1035356755E9	5.444448477369242E-5
3.1038721965E9	0.0
3.1041915895E9	0.0
3.1045559385E9	1.7930110317362953E-4
3.104787129E9	0.0
3.105336073E9	0.0
3.1059898435E9	3.4340360791132365E-4
3.106384909E9	2.4240147137693125E-4
3.106656027E9	1.790721236540138E-4
3.1068673425E9	0.0
3.107140135E9	0.0
3.107349736E9	0.0
3.10751412E9	0.0
3.107723675E9	0.0
3.1080555695E9	1.0625168572386004E-4
3.108442757E9	1.087829989718252E-4
3.108678136E9	0.0
3.1089187585E9	0.0
3.1092823785E9	0.0
3.109975813E9	7.433877751450915E-5
3.1105441855E9	0.0
3.110885305E9	2.3372840759037998E-4
3.111403221E9	0.0
3.111731037E9	0.0
3.1120587715E9	0.0
3.112396496E9	5.129630025434415E-4
3.112649426E9	2.872784877660404E-4
3.112905163E9	0.0
3.113082225E9	0.0
3.1133921265E9	0.0
3.1137486085E9	1.1284059606385451E-4
3.1141372015E9	7.985273474602628E-5
3.1146007235E9	9.75246471380949E-5
3.115013157E9	1.0703801722776887E-4
3.1154076605E9	9.149835784526183E-5
3.115723036E9	5.523502736222574E-4
3.115918682E9	0.0
3.1160894655E9	0.0
3.116325314E9	0.0
3.116531067E9	0.0
3.116681362E9	0.0
3.116898E9	0.0
3.1170494425E9	0.0
3.1171806545E9	0.0
3.117361551E9	0.0
3.1176782425E9	8.096441400940039E-5
3.1180307805E9	1.6119863914412007E-4
3.1182369845E9	0.0
3.1183707825E9	4.179406524273553E-4
3.118519089E9	0.0
3.1186486725E9	0.0
3.118738185E9	0.0
3.1189714925E9	9.265068930940052E-4
3.11928008E9	0.0
3.119500009E9	0.0
3.1197001395E9	0.0
3.1199727365E9	1.3606235543374735E-4
3.120337415E9	0.0
3.1206044345E9	3.4402455806076005E-4
3.12076382E9	0.0
3.1209817405E9	1.7358549519602142E-4
3.12214775E9	0.0
3.123266536E9	0.0
3.123438732E9	0.0
3.123612478E9	0.0
3.123863132E9	3.340502069178761E-4
3.124195485E9	0.0
3.1243917055E9	0.0
3.1246908495E9	0.0
3.1251040995E9	2.5143949108647005E-4
3.125440629E9	1.916081275659287E-4
3.1256352745E9	0.002005813953488372
3.1257738725E9	0.0
3.125936428E9	0.0
3.1261691495E9	1.827065628197365E-4
3.1265210885E9	0.0
3.1268156285E9	0.0
3.1270726515E9	7.447622458447964E-4
3.127265223E9	2.2233857143881745E-4
3.127371569E9	5.732614481676107E-4
3.127535581E9	0.0
3.127749238E9	0.0
3.128067724E9	0.0
3.128370997E9	0.0
3.128676195E9	0.0
3.1292051565E9	2.781282646153011E-4
3.1298403155E9	5.876631867211626E-5
3.1302706125E9	0.0
3.1305754505E9	9.075170333966269E-5
3.1321497915E9	2.1920323302701276E-4
3.1353335555E9	2.2748513809444195E-4
3.1372907885E9	0.0
3.1374988775E9	6.387140557011883E-4
3.1376525275E9	0.001738875654466936
3.137784479E9	0.0
3.1378894675E9	0.0
3.138044689E9	0.0
3.1382309345E9	5.692829457364341E-4
3.1383331395E9	0.0
3.1384347255E9	0.0
3.138583716E9	0.0
3.1389355995E9	1.7203002450550146E-4
3.139390792E9	9.978956142487754E-5
3.1398022755E9	0.0
3.1402084825E9	0.0
3.1403862685E9	0.0
3.140626454E9	0.0
3.1410640175E9	1.4280138231738084E-4
3.1414205715E9	0.0
3.141659797E9	0.0
3.141753944E9	0.0
3.1418928425E9	4.0362168648412785E-4
3.14216262E9	0.0
3.1423930235E9	0.0
3.1425337965E9	0.0
3.142583612E9	0.0
3.142693285E9	0.0
3.1430132E9	0.0
3.1433656765E9	0.0
3.1435620985E9	0.0
3.1437252355E9	0.0
3.1439124755E9	0.0
3.1441377615E9	0.0
3.1444302055E9	0.0
3.144653266E9	0.0
3.1448960075E9	0.0
3.145158894E9	0.0
3.145358015E9	0.0
3.145549262E9	1.9344815287240281E-4
3.14578279E9	0.0
3.1460245875E9	0.0
3.146138195E9	0.0
3.1462914205E9	0.0
3.146476455E9	0.0
3.146585554E9	0.0
3.1471636345E9	7.068906554786892E-5
3.147783319E9	0.0
3.1481501035E9	1.2013943567734614E-4
3.148526311E9	0.0
3.148684268E9	0.0
3.1488239405E9	0.0
3.1490691495E9	0.0
3.149259299E9	0.0
3.14933491E9	0.0069568835010920685
3.149455246E9	0.0
3.1496810995E9	1.0081729218195504E-4
3.149915649E9	0.0
3.150120605E9	0.0
3.1504181785E9	3.587785831609514E-4
3.1506806345E9	0.0
3.150768362E9	0.0
3.150789744E9	0.0
3.1508818525E9	5.310495959989783E-4
3.1510179735E9	0.0
3.1511591855E9	0.0
3.1512713545E9	6.422607578676942E-4
3.1514072115E9	0.0
3.151709963E9	0.0
3.152270877E9	0.0
3.1529776655E9	4.3419612928623944E-5
3.1534552455E9	0.0
3.1536732585E9	0.0
3.1560033245E9	3.2528773482543854E-5
3.1585028055E9	0.0
3.158956377E9	0.0
3.161904859E9	4.832332778651343E-4
3.165574326E9	0.0
3.166757008E9	6.263297645189882E-5
3.167122451E9	0.004122407564446318
3.1674090865E9	0.0
3.1681710055E9	1.9141259027139013E-4
3.168797174E9	0.0
3.168889913E9	0.0
3.1689632785E9	0.0
3.169232994E9	0.0
3.170436759E9	1.6605132542686866E-5
3.1715358E9	0.0
3.171805015E9	0.0
3.171978051E9	4.834052080550573E-4
3.1721019235E9	0.0
3.17235399E9	0.0010238897661770106
3.172662448E9	1.9154437976865696E-4
3.1728723615E9	2.3203875047132872E-4
3.173018677E9	7.368006049520756E-4
3.1732341845E9	0.0
3.173641601E9	0.0
3.174097291E9	0.0
3.174407158E9	1.2150914356305312E-4
3.174588982E9	0.0
3.174693502E9	0.0
3.1747798065E9	0.0
3.1749374065E9	3.789201202326314E-4
3.1751486585E9	0.0
3.175270819E9	0.0
3.175371511E9	2.7645501731299543E-4
3.1755254485E9	0.0
3.175709592E9	1.9502586530538614E-4
3.175927564E9	0.0
3.176246679E9	0.0
3.1764969075E9	0.0
3.1766565255E9	0.0
3.176814214E9	0.0
3.1770256965E9	1.1385631333257428E-4
3.177439156E9	7.86754940030213E-4
3.177888433E9	4.6868563281194114E-5
3.1781600365E9	0.0
3.178414404E9	1.0244879582224594E-4
3.1786818255E9	0.0
3.1788488915E9	0.0
3.17901806E9	0.0
3.1792488865E9	0.0
3.1795161765E9	0.0
3.179716348E9	0.0
3.179885089E9	0.0
3.180057544E9	0.0
3.180190823E9	0.0
3.180321293E9	0.0
3.1805133995E9	0.0
3.180675235E9	0.0
3.180811143E9	0.0
3.18096962E9	0.0
3.181120948E9	0.0
3.181336293E9	0.0
3.181651021E9	5.3411144938169574E-5
3.182088629E9	1.1934897061512844E-4
3.1825167475E9	1.2472086283080725E-4
3.182835423E9	0.0
3.183345812E9	0.0
3.183800755E9	2.0030889740494553E-4
3.1841017925E9	1.0912582935630311E-4
3.184538628E9	0.0
3.1848475605E9	0.0
3.1850038065E9	0.0
3.185169146E9	0.0
3.185333034E9	0.0
3.1854821285E9	0.0
3.185560857E9	0.0
3.1856175245E9	7.719714964370546E-4
3.1857620465E9	3.297802174421821E-4
3.185864766E9	0.0
3.18603873E9	1.9667587513199977E-4
3.1862183885E9	0.0
3.1862672055E9	0.0
3.1863357065E9	0.0
3.186440086E9	3.2013203668001736E-4
3.1867119335E9	0.0
3.187060557E9	0.0
3.1872149555E9	0.0
3.1875321525E9	0.0
3.1878661955E9	0.0
3.188323252E9	0.0
3.1888609845E9	0.0
3.1890164205E9	0.0
3.1892442175E9	2.1442033156154428E-4
3.189549575E9	0.0
3.1897324745E9	0.0
3.189879881E9	0.0014086407426397171
3.190063743E9	2.7406420776259464E-4
3.1902100965E9	0.0
3.1904485205E9	1.7458672049757215E-4
3.1906569395E9	0.0
3.190956934E9	6.73056458522441E-5
3.191412763E9	1.0499354842274823E-4
3.191806527E9	9.398474157720494E-5
3.1921022445E9	0.0
3.1922532815E9	0.0
3.192356845E9	0.0
